MAME 街机游戏列表显示器	MAME game list
总数量：	all number:
UI	
语言/language	
分类列表	index list
游戏列表	game list
周边	extra
切换主题(关闭程序，重新打开后生效)	select theme (close the application,reopen it)
高分辨率屏幕	high resolution screen
程序关闭，重新打开后生效。	close then reopen to get effective
不设置	not set
方法1	1
方法2	2
方法3	3
方法4	4
注	
当屏幕 dpi 太高，用 1:1 显示时，默认字体太小。	
如果，在系统中，整体设置了放大，此时，有些软件处理得不好，字体又显示得模糊，	
此时，你可以试试以上不同的选项。	
网上搜到的代码，具体管不管用，不太懂	
其中有管用的，那正好	
都不管用的话，也就算球了	
启用 tk scaling 缩放（关闭程序，重新打开后生效）	use tk scaling (close the application,reopen it)
手动设置 tk scaling 缩放 值	set tk scaling value
列表行高设置	set row height
列表标题行高设置	set header row height
列表图标宽度设置	set icon width
列表字体	game list font
列表标题字体	game list header font
文本字体1	text 1 font
文本字体2	text 2 font
其它字体	others font
仅内置主题（第三方主题，可以在对应的配置文件中编辑颜色）	only for internal theme (the third party theme,you can change the theme's configure file)
启用自定义颜色	set colour by user
需关闭、重新打开程序	need close the application then reopen it
内置主题	internal theme
自定义部分颜色	set some colour
保存配置文件	save option
保存配置文件、窗口大小	save option and window size
保存配置文件、窗口大小/位置	save option and window size/position
文件路径设置	file path setting
如果需要清空数据，可以手动删除 .jjui 文件夹下的 *.bin 文件	if you need to clear the data,delete all .jjui\*.bin file
修改自定义目录以后，记得手动保存一下	after change the user's index content ,remember to click the save button
如果此文件夹已经有文件了，建议自己先手动清理一下，免得各种新旧文件混在一起	
导出外置的分类到文件夹：	export user's index file to folder :
并清理超出范围的项目	and clear the items not in the data
如果有超出范围的项目，会被保存为同名的 .txt 文件	
超出范围是指：不在所有列表中	
不同版本的模拟器，会有一些文件名修改过；非官方的 MAME 可能比官方原版 收录更多的游戏；……	
谨慎操作！	warning! be careful
瘦身	delete some items
刷新列表，split/分离模式 (不具体校验文件，只检查有没有压缩包/文件夹)	refresh gamelist,split (not verify the files,only check if it exists)
刷新列表，merged/合并模式 (不具体校验文件，只检查有没有压缩包/文件夹)	refresh gamelist,merged (not verify the files,only check if it exists)
以上两项，只是检查文件是否存在，没有检查文件的正确性	the two above ,not verify the files,only check if it exists
拥有列表 过滤	available gamelist filter
全局 过滤	all gamelist filter
程序关闭后，不会保存这个值	app will not save this option after close
标记未拥有	mark unavailable
切换列表时，尝试定位到之前的选择	try to keep track of the select item
本地排序	sort locally
关闭程序，重新打开后生效	close the application,reopen it
搜索 设置	search settings
删除内容后，程序会关闭。	app will close after delete something
重新打开程序，查看效果即可。	reopen app , check the difference
删除不需要的列	delete column
删除不需要的行，删除当前目录中的条目	delete unwanted rows,delete the items in current list
删除不需要的行，仅保留当前目录，删除其它条目	delete unwanted rows,delete the items not in current list
周边延迟显示	extras show time delay
周边延迟时间设置	extra delay time
周边文档，建目录加速	extra text make index
界面翻译 / UI translation	
游戏列表翻译 / gamelist translation	
关于 JJui	about JJui
赞助 JJui	donate JJui
JJui 在 PPXCLUB 论坛的发布页面：www.ppxclub.com/705838-1-1	
PPXCLUB 论坛，国内的街机模拟器玩家可能多一些，但是如果不是开放注册期间，可能不方便注册	
源代码 github：https://github.com/gdicnng/JJui	
打开本地 使用说明：	open the help file
如果使用说明，没有放在一起，另外下载后，再看	if the help file is not here,download it
如果使用说明没有正确打开，可以找到文件，手动打开	if not opened,find it and open it
打开在线 使用说明：jjui.readthedocs.io	open help file online ：jjui.readthedocs.io
打开在线 使用说明：jjui.rtfd.io	open help file online：jjui.rtfd.io
readthedocs 的免费在线文档功能，不知道网站连接的效果好不好	
查看当前 python 版本	see the python version
一些网站链接	some links
选择主题	select theme
当前使用的主题为：	the theme is using:
设置中的主题为：	the theme be selected:
使用内置主题	use internal themes
选择内置主题：	select internal themes
使用第三方主题	use third party themes
选择第三方主题（需要下载第三方主题文件）：	select third party themes (need to download the files)
放大倍数	tk scaling
已设定的值为：	the number be set
输入一个大于0的数，整数/小数	input a number big than 0
确定	OK
程序启动时，值为：	the number when application started
输入一个大于0的数，整数 或 小数	input a number big than 0
输入0，程序关闭后，下次回到默认值	input 0 ,back to default ,when application reopened
万一整错了，整个界面，大小变得不太方便操作了，	
可以删除配置文件中对应的选项	
或者简单点，删除整个配置文件	
配置文件为  ：	
这功能我其实并不了解	
也不太清楚，是不是这样子使用的	
当时，在搜索第三方主题时看到的	
上面提到了有些主题可以 Scalable	
如果需要的话	
内置的主题可以自己试试。	
第三方主题的话	
很多第三方的主题可能不太适用这个选项，	
可能有些地方放大，有些地方没有，具体可以自己试试。	
第三方主题，其中 aw 开头的，需要加载的另外的一个库文件，	
以使用 .svg 格式的 图片。	
其它主题的图片一般是 .png .gif 格式的。	
aw 开头的好像也有一两个不需要库文件也能使用。	
第三方主题	
使用 .svg 图片 的主题，可以先拿来试试这功能。	
其它的，感兴趣的，自己多试试吧	
列表 行高度 设置	set game list row height
选择 0 的话，关闭程序，下次打开，回到默认值	if select 0 ,set back to the default value,but need close this application then reopen it
选择其它的值，即时生效	if select other value ,get effective now
列表 标题行 高度 设置	set game list header row height
列表 图标 大小 设置	set icon size
路径设置	set file path
模拟器路径	emulator file path
mame 模拟器 路径	mame file path
默认值	default
修改	change
选择	select
mame 工作目录	mame's working directory
目录路径	the index files' path
图片路径	image path
图片压缩包路径	image zip file path
文档路径	docs path
周边延迟时间(毫秒):	extra delay time (millisecond)
关于	about
赞助	donate
支付宝二维码：	
查看 python 版本	check python version
python 版本：	python version:
tkinter 版本：	tkinter version
字体选择	select font
字体大小	font size
负整数，字体单位是像素；正整数，字体单位是 point	
颜色 设置	colour setting
背景色	background
前景色	foreground
列表选中行背景色	gamelist background when selected
列表选中行前景色	gamelist foreground when selected
分隔条背景色	background for separator
导入翻译文件	import translation file
翻译文件不存在：	not exist translation file
读取翻译文件，出错。注意将文件的 文本编码 保存为 utf-8-bom	read translation file,error.make sure the text file is encoded as utf-8 with bom
读取翻译文件，翻译数量为 0 ，翻译任务取消	read translation file,the translated number is 0,cancel
有效翻译数量为 0 ，翻译任务取消	the effective translated number is 0,cancel
未指翻译定文件	no translation file
默认翻译文件：	the default translation file:
默认翻译文件，文字编码为：utf_8_bom	the default translation file,the encoding is utf-8 with bom
读取默认翻译文件	read default translation file
另外选择翻译文件:	select another translation file
读取指定翻译文件	read the selected file
编码提示：	the text's encoding:
将文本保存为 utf-8 带 bom ，可以包含多国文字	save the file's encoding as utf-8 with bom ,it can include different language
界面翻译/UI translation	
.txt 文件	.txt files
中文 / Chinese	
选择其它翻译文件 / choose other translation file	
需关闭程序 / need close this application	
搜索范围	search scope
搜索范围，至少要选一项	search scope,at least choose one
忽略大小写	ignore case
搜索范围(按列)	search scope( columns )
全局过滤	all gamelist filter
主版	parent
克隆版	clone
模拟状态 good	driver state good
模拟状态 imperfect	driver state imperfect
模拟状态 preliminary	driver state preliminary
选择不想显示的种类	choose the unwanted kind
有些种类，一起选，可能游戏列表就空了	if choose some together,game list may be empty
程序关闭后，此选项不会被保存	app will not save this option after close
拥有列表过滤	available gamelist filter
选择游戏列表显示项目	select gamelist columns
第1组，程序一开始显示的内容	the first group,show it when application started
后面的第2组、第3组，主要是为了方便切换显示不同的内容	the second or the third group ,for quickly change content
不需要的话，可以不用去管 第2组、第3组	if you don't needed,the second or the third group is not important
确认，确认后跳转到第1组	OK,then jump to the first group
内容	content
添加到第1组	add to group 1
添加到第2组	add to group 2
添加到第3组	add to group 3
第1组	group 1
从第1组移除	remove from group 1
上移	move up
下移	move donw
第2组	group 2
从第2组移除	remove from group 2
第3组	group 3
从第3组移除	remove from group 3
内置目录瘦身	internal index ,delete some items
选择要删除的项目。	choose the unwanted items
有些项目被删掉的话，列表的过滤功能可能会被影响到一些。	the game list filter function may be affect by some items
如果有项目被删除，程序修改数据、保存数据后，会关闭。	after delete some things,app will close
已经没有项目可以删了	no item left to be deleted
列表瘦身，删除不需要的列	game list delete items,delete unwanted columns
选择要删除的列。	choose the unwanted columns
有些列被删掉的话，搜索功能的整体搜索范围会被影响到。	the search scope will be affected by delete columns
MAME的模拟状态一列，SL的支持一列，影响到图标颜色。	the MAME driver state column (SL support column)affect the icons colour
全部都删除的话，没有意义。程序也会出错。	no meaning to delete every thing
列表数量：	gamelist number:
主版本：	parent:
romof：	romof:
模拟状态：	status
存盘状态：	save status
1/2/3	
分组/不分组	grouped/flat
定位到	jump to
搜索栏:	search bar:
正则搜索	search use regular expression
清空	clear
初始化 / initialization	
初始化，从模拟器读取游戏列表数据 / initialization,get info from emulator	
选择 MAME 程序 / choose MAME executable program	
-listxml	
MAME 版本>=0.84 / MAME version>=0.84	
确定 / OK	
.exe 文件	.exe file
所有文件	all file
导出 xml	export xml
请耐心等待......	wait ......
模拟器：	emulator:
提取 roms 信息 到文件：	extract info:
导出结束	export ,finished
解析 xml	parse xml
完成	finished
-getsoftlist	
MAME 版本>=0.162 / MAME version>=0.162	
